company_id,company_name,company_email,company_photo,company_password
1,成都金飞凌,2880@123.com,,2230
2,格米互动,2710@123.com,,2210
3,致学教育,1370@123.com,,2500
4,容豪电子,2470@123.com,,1320
5,容豪电子,2000@123.com,,2520
6,华兴汇明,1320@123.com,,2580
7,海乂知,1710@123.com,,2130
8,星潮信息技术,2810@123.com,,2730
9,索贝数码,1360@123.com,,2980
10,申创,2690@123.com,,1630
11,欧督系统科技,1540@123.com,,2810
12,联珠科技,1700@123.com,,1580
13,成都安舟,2880@123.com,,1080
14,支付宝,1840@123.com,,1350
15,网思科平,1610@123.com,,1420
16,四川钧力成,2330@123.com,,2380
17,申创,2140@123.com,,2380
18,双倍游戏,2220@123.com,,2950
19,KlilalaGroup,2840@123.com,,2800
20,KlilalaGroup,1720@123.com,,1610
21,数字天空,2600@123.com,,1940
22,艾体验,1240@123.com,,1170
23,兴政电子,2710@123.com,,1790
24,永洪科技,2870@123.com,,1210
25,鸟人信息技术,1430@123.com,,1550
26,智编软件科技,2670@123.com,,1640
27,菊乐食品,1240@123.com,,2870
28,蔚徕已徕,1560@123.com,,2390
29,霏森科技,1600@123.com,,2470
30,天汇科技,2690@123.com,,1060
31,嘉盟,2080@123.com,,1780
32,青牛软件,1010@123.com,,2740
33,成都吉锐文化传播,1530@123.com,,1240
34,倍发科技,1230@123.com,,1660
35,云梯,1460@123.com,,1860
36,久远银海,1490@123.com,,2800
37,蚂蚁金服,1770@123.com,,2180
38,星潮信息技术,2640@123.com,,1180
39,海乂知,2310@123.com,,2810
40,容豪电子,1260@123.com,,2730
41,联珠科技,1270@123.com,,1350
42,中电九天,1290@123.com,,1970
43,瀚雨淋馨,1520@123.com,,2750
44,YOUMORE,2770@123.com,,2510
45,网威科技,2840@123.com,,1320
46,成都安舟,1270@123.com,,1810
47,竞技世界,1300@123.com,,2950
48,KlilalaGroup,2710@123.com,,2330
49,天上友嘉,2020@123.com,,1370
50,网思科平,2170@123.com,,1200
51,支付宝,1840@123.com,,1140
52,申创,2470@123.com,,2230
53,成都禾润软件有限公司,2690@123.com,,1380
54,素问天码科技有限公司,2810@123.com,,2920
55,音创,2360@123.com,,2110
56,竞技世界,2420@123.com,,2950
57,大地惊雷,1850@123.com,,1680
58,正欣德,1750@123.com,,1360
59,智编软件科技,1000@123.com,,1900
60,思创易控Cetron,1130@123.com,,2430
61,致学教育,2790@123.com,,1580
62,启英泰伦,1890@123.com,,2570
63,维客昕微,2710@123.com,,2100
64,申创,1200@123.com,,2030
65,游戏汇,2420@123.com,,2970
66,联珠科技,1470@123.com,,1940
67,中电九天,1050@123.com,,2850
68,双倍游戏,1790@123.com,,1250
69,四方伟业,2710@123.com,,1650
70,盛博协同,2020@123.com,,2790
71,成都安舟,2840@123.com,,2820
72,天上友嘉,2260@123.com,,2910
73,支付宝,2580@123.com,,2220
74,玉米树游戏,2020@123.com,,2630
75,先进科技,1600@123.com,,1720
76,艾体验,1440@123.com,,2870
77,西谷物联,1980@123.com,,2880
78,正欣德,2220@123.com,,2360
79,智编软件科技,1200@123.com,,2600
80,竞技世界,2910@123.com,,1350
81,申创,1870@123.com,,2480
82,智编软件科技,2070@123.com,,2880
